Team Name,Conference,Team Page URL,Logo URL,Local Image Path
Miami,NCHC,https://www.collegehockeynews.com/reports/team/Miami/30,https://www.collegehockeynews.com/images/logos/mia.png,team_logos\miami.png
Minnesota-Duluth,NCHC,https://www.collegehockeynews.com/reports/team/Minnesota-Duluth/36,https://www.collegehockeynews.com/images/logos/mnd.png,team_logos\minnesota-duluth.png
Omaha,NCHC,https://www.collegehockeynews.com/reports/team/Omaha/37,https://www.collegehockeynews.com/images/logos/uno.png,team_logos\omaha.png
North Dakota,NCHC,https://www.collegehockeynews.com/reports/team/North-Dakota/40,https://www.collegehockeynews.com/images/logos/ndk.png,team_logos\north_dakota.png
St. Cloud State,NCHC,https://www.collegehockeynews.com/reports/team/St-Cloud-State/52,https://www.collegehockeynews.com/images/logos/stc.png,team_logos\st._cloud_state.png
Western Michigan,NCHC,https://www.collegehockeynews.com/reports/team/Western-Michigan/57,https://www.collegehockeynews.com/images/logos/wmu.png,team_logos\western_michigan.png
Alaska-Anchorage,Independents,https://www.collegehockeynews.com/reports/team/Alaska-Anchorage/3,https://www.collegehockeynews.com/images/logos/aka.png,team_logos\alaska-anchorage.png
Alaska,Independents,https://www.collegehockeynews.com/reports/team/Alaska/4,https://www.collegehockeynews.com/images/logos/akf.png,team_logos\alaska.png
Lindenwood,Independents,https://www.collegehockeynews.com/reports/team/Lindenwood/433,https://www.collegehockeynews.com/images/logos/lin.png,team_logos\lindenwood.png
Long Island,Independents,https://www.collegehockeynews.com/reports/team/Long-Island/62,https://www.collegehockeynews.com/images/logos/liu.png,team_logos\long_island.png
Stonehill,Independents,https://www.collegehockeynews.com/reports/team/Stonehill/422,https://www.collegehockeynews.com/images/logos/stn.png,team_logos\stonehill.png
