season,away_team,home_team,away_goals,home_goals,away_shots,home_shots,away_xg,home_xg,url,away_eng,home_eng,away_ev_goals,home_ev_goals
20242025,Brown,Yale,2.0,1.0,27.0,27.0,2.4,2.4,https://www.collegehockeynews.com/box/final/20250206/brn/yal/,0,0,2.0,0.0
20242025,Lindenwood,Long Island,2.0,4.0,21.0,21.0,2.5,2.4,https://www.collegehockeynews.com/box/final/20250206/lin/liu/,0,0,2.0,2.0
20242025,Massachusetts,Connecticut,5.0,4.0,39.0,46.0,3.6,4.2,https://www.collegehockeynews.com/box/final/20250207/uma/con/,0,0,4.0,2.0
20242025,Vermont,Mass.-Lowell,5.0,3.0,28.0,32.0,1.9,2.6,https://www.collegehockeynews.com/box/final/20250207/ver/uml/,1,0,3.0,3.0
20242025,Boston University,Merrimack,1.0,2.0,25.0,28.0,2.3,3.2,https://www.collegehockeynews.com/box/final/20250207/bu_/mer/,0,0,1.0,1.0
20242025,Boston College,New Hampshire,4.0,2.0,32.0,21.0,4.5,2.3,https://www.collegehockeynews.com/box/final/20250207/bc_/unh/,0,0,3.0,2.0
20242025,Maine,Providence,3.0,3.0,30.0,32.0,3.3,3.9,https://www.collegehockeynews.com/box/final/20250207/mne/prv/,0,0,1.0,2.0
20242025,Air Force,Canisius,5.0,3.0,32.0,34.0,2.6,2.3,https://www.collegehockeynews.com/box/final/20250207/afa/cns/,1,0,4.0,0.0
20242025,American Int'l,Mercyhurst,5.0,0.0,36.0,21.0,2.5,1.7,https://www.collegehockeynews.com/box/final/20250207/aic/mrc/,0,0,5.0,0.0
20242025,Sacred Heart,Army,2.0,2.0,24.0,30.0,2.3,3.7,https://www.collegehockeynews.com/box/final/20250207/sac/arm/,0,0,1.0,1.0
20242025,Robert Morris,Bentley,0.0,1.0,19.0,31.0,1.8,3.6,https://www.collegehockeynews.com/box/final/20250207/rmu/ben/,0,0,0.0,1.0
20242025,Holy Cross,RIT,9.0,2.0,33.0,20.0,3.7,1.8,https://www.collegehockeynews.com/box/final/20250207/hcr/rit/,0,0,4.0,0.0
20242025,Union,Colgate,2.0,2.0,28.0,27.0,3.1,2.9,https://www.collegehockeynews.com/box/final/20250207/uni/clg/,0,0,2.0,1.0
20242025,Rensselaer,Cornell,2.0,4.0,18.0,30.0,2.3,2.9,https://www.collegehockeynews.com/box/final/20250207/ren/cor/,0,0,0.0,3.0
20242025,Harvard,Dartmouth,2.0,3.0,21.0,21.0,2.9,2.5,https://www.collegehockeynews.com/box/final/20250207/har/dar/,0,0,1.0,3.0
20242025,Clarkson,Princeton,4.0,1.0,32.0,20.0,2.1,1.5,https://www.collegehockeynews.com/box/final/20250207/clk/prn/,0,0,3.0,1.0
20242025,St. Lawrence,Quinnipiac,1.0,6.0,16.0,36.0,1.8,3.9,https://www.collegehockeynews.com/box/final/20250207/stl/qui/,0,0,1.0,6.0
20242025,St. Cloud State,Western Michigan,0.0,4.0,24.0,34.0,1.5,3.0,https://www.collegehockeynews.com/box/final/20250207/stc/wmu/,0,1,0.0,3.0
20242025,Denver,Arizona State,5.0,4.0,34.0,27.0,3.5,2.2,https://www.collegehockeynews.com/box/final/20250207/den/asu/,0,0,5.0,2.0
20242025,Minnesota-Duluth,Omaha,1.0,4.0,40.0,29.0,4.8,3.5,https://www.collegehockeynews.com/box/final/20250207/mnd/uno/,0,1,0.0,2.0
20242025,Colorado College,North Dakota,6.0,4.0,25.0,22.0,3.0,2.7,https://www.collegehockeynews.com/box/final/20250207/cc_/ndk/,1,0,3.0,2.0
20242025,Michigan,Michigan State,2.0,1.0,27.0,39.0,2.3,4.2,https://www.collegehockeynews.com/box/final/20250207/mic/msu/,0,0,1.0,0.0
20242025,Penn State,Wisconsin,2.0,0.0,26.0,25.0,2.5,3.0,https://www.collegehockeynews.com/box/final/20250207/psu/wis/,1,0,1.0,0.0
20242025,Ohio State,Notre Dame,5.0,1.0,32.0,28.0,2.9,3.1,https://www.collegehockeynews.com/box/final/20250207/osu/ndm/,0,0,3.0,0.0
20242025,St. Thomas,Bowling Green,1.0,4.0,25.0,33.0,2.2,3.4,https://www.collegehockeynews.com/box/final/20250207/stt/bgs/,0,0,1.0,3.0
20242025,Northern Michigan,Lake Superior,2.0,3.0,34.0,37.0,2.6,3.2,https://www.collegehockeynews.com/box/final/20250207/nmu/lss/,0,0,2.0,1.0
20242025,Bemidji State,Michigan Tech,5.0,3.0,26.0,29.0,2.8,3.1,https://www.collegehockeynews.com/box/final/20250207/bmj/mtu/,0,0,4.0,2.0
20242025,Augustana,Minnesota State,1.0,4.0,26.0,33.0,2.3,2.5,https://www.collegehockeynews.com/box/final/20250207/aug/mns/,0,1,1.0,2.0
20242025,Lindenwood,Long Island,2.0,3.0,23.0,32.0,2.5,2.8,https://www.collegehockeynews.com/box/final/20250207/lin/liu/,0,0,2.0,3.0
20242025,Mass.-Lowell,Connecticut,4.0,5.0,37.0,34.0,3.2,3.6,https://www.collegehockeynews.com/box/final/20250208/uml/con/,0,0,3.0,3.0
20242025,Maine,Providence,1.0,0.0,20.0,28.0,1.6,2.7,https://www.collegehockeynews.com/box/final/20250208/mne/prv/,0,0,1.0,0.0
20242025,Merrimack,New Hampshire,5.0,4.0,19.0,34.0,1.6,4.1,https://www.collegehockeynews.com/box/final/20250208/mer/unh/,0,0,5.0,1.0
