Date,HomeTeam,AwayTeam,NeutralSite,Season
2026-12-04,Union,Dartmouth,False,20262027
2026-12-04,RPI,Harvard,False,20262027
2026-12-04,Quinnipiac,St. Lawrence,False,20262027
2026-12-04,Northern Michigan,Michigan Tech,False,20262027
2026-12-04,Ferris State,Lake Superior,False,20262027
2026-12-04,Augustana,Bemidji State,False,20262027
2026-12-04,Minnesota State,Bowling Green,False,20262027
2026-12-04,Army,Bentley,False,20262027
2026-12-04,Air Force,Niagara,False,20262027
2026-12-04,Canisius,Robert Morris,False,20262027
2026-12-04,Princeton,Clarkson,False,20262027
2026-12-05,Arizona State,Colorado College,False,20262027
2026-12-05,St. Thomas,Omaha,False,20262027
2026-12-05,Western Michigan,Miami,False,20262027
2026-12-05,Denver,North Dakota,False,20262027
2026-12-05,Colgate,Boston University,False,20262027
2026-12-05,Alaska Anchorage,Alaska,False,20262027
2026-12-05,Stonehill,Yale,False,20262027
2026-12-05,Cornell,RIT,False,20262027
2026-12-05,New Hampshire,Maine,False,20262027
2026-12-05,Merrimack,Brown,False,20262027
2026-12-05,Sacred Heart,LIU,False,20262027
2026-12-05,Vermont,Providence,False,20262027
2026-12-05,Quinnipiac,Clarkson,False,20262027
2026-12-05,UMass Lowell,Boston College,False,20262027
2026-12-05,Union,Harvard,False,20262027
2026-12-05,Princeton,St. Lawrence,False,20262027
2026-12-05,RPI,Dartmouth,False,20262027
2026-12-05,Michigan Tech,Northern Michigan,False,20262027
2026-12-05,Ferris State,Lake Superior,False,20262027
2026-12-05,Augustana,Bemidji State,False,20262027
2026-12-05,Minnesota State,Bowling Green,False,20262027
2026-12-05,Air Force,Niagara,False,20262027
2026-12-05,Army,Bentley,False,20262027
2026-12-05,Canisius,Robert Morris,False,20262027
2026-12-05,Massachusetts,Northeastern,False,20262027
2026-12-06,Brown,Stonehill,False,20262027
2026-12-08,Cornell,Holy Cross,False,20262027
2026-12-10,St. Lawrence,Vermont,False,20262027
2026-12-10,Dartmouth,Stonehill,False,20262027
2026-12-10,Penn State,Army,True,20262027
2026-12-10,Wisconsin,Omaha,False,20262027
2026-12-11,North Dakota,Minnesota Duluth,False,20262027
2026-12-11,Alaska,Union,False,20262027
2026-12-11,Alaska Anchorage,LIU,False,20262027
2026-12-11,Lindenwood,mvl,False,20262027
2026-12-11,Wisconsin,Omaha,False,20262027
2026-12-11,Ohio State,Connecticut,False,20262027
2026-12-11,Colorado College,St. Thomas,False,20262027
2026-12-11,Arizona State,Western Michigan,False,20262027
2026-12-11,St. Cloud State,Denver,False,20262027
2026-12-11,Providence,New Hampshire,False,20262027
